Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
28,22f85f79acbd048570504a305dcf01567a9be4b794c891b34c96e161a36499e9,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would say my willingness to take risks is around a 4.,Willingness to take risk,71,female,Chile
28,22f85f79acbd048570504a305dcf01567a9be4b794c891b34c96e161a36499e9,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,71,female,Chile
28,22f85f79acbd048570504a305dcf01567a9be4b794c891b34c96e161a36499e9,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,71,female,Chile
28,22f85f79acbd048570504a305dcf01567a9be4b794c891b34c96e161a36499e9,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,71,female,Chile
28,22f85f79acbd048570504a305dcf01567a9be4b794c891b34c96e161a36499e9,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,71,female,Chile
28,22f85f79acbd048570504a305dcf01567a9be4b794c891b34c96e161a36499e9,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",9,Will return favor,71,female,Chile
28,22f85f79acbd048570504a305dcf01567a9be4b794c891b34c96e161a36499e9,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,71,female,Chile
28,22f85f79acbd048570504a305dcf01567a9be4b794c891b34c96e161a36499e9,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,71,female,Chile
28,22f85f79acbd048570504a305dcf01567a9be4b794c891b34c96e161a36499e9,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,5,Good at math,71,female,Chile
28,22f85f79acbd048570504a305dcf01567a9be4b794c891b34c96e161a36499e9,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,71,female,Chile
28,22f85f79acbd048570504a305dcf01567a9be4b794c891b34c96e161a36499e9,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,71,female,Chile
28,22f85f79acbd048570504a305dcf01567a9be4b794c891b34c96e161a36499e9,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,71,female,Chile
28,22f85f79acbd048570504a305dcf01567a9be4b794c891b34c96e161a36499e9,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 30000 CLP and the same 50-percent chance of receiving nothing, OR Option 2: 1000 CLP as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 1000,71,female,Chile
28,22f85f79acbd048570504a305dcf01567a9be4b794c891b34c96e161a36499e9,What would you prefer? Option 1: A payment of 12000 CLP today OR Option 2: 12400.0 CLP in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 12400.0,71,female,Chile
28,22f85f79acbd048570504a305dcf01567a9be4b794c891b34c96e161a36499e9,What would you prefer? Option 1: A payment of 12000 CLP today OR Option 2: 12700.0 CLP in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 12700.0,71,female,Chile
28,22f85f79acbd048570504a305dcf01567a9be4b794c891b34c96e161a36499e9,What would you prefer? Option 1: A payment of 12000 CLP today OR Option 2: 13100.0 CLP in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 13100.0,71,female,Chile
28,22f85f79acbd048570504a305dcf01567a9be4b794c891b34c96e161a36499e9,What would you prefer? Option 1: A payment of 12000 CLP today OR Option 2: 13500.0 CLP in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 13500.0,71,female,Chile
28,22f85f79acbd048570504a305dcf01567a9be4b794c891b34c96e161a36499e9,What would you prefer? Option 1: A payment of 12000 CLP today OR Option 2: 13900.0 CLP in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 13900.0,71,female,Chile
28,22f85f79acbd048570504a305dcf01567a9be4b794c891b34c96e161a36499e9,Imagine someone did you a favor that cost them 600 CLP. How much would you be willing to spend to return the favor? Please answer with a single number.,400 CLP.,Reciprocation 600,71,female,Chile
28,22f85f79acbd048570504a305dcf01567a9be4b794c891b34c96e161a36499e9,Imagine someone did you a favor that cost them 1200 CLP. How much would you be willing to spend to return the favor? Please answer with a single number.,800,Reciprocation 1200,71,female,Chile
28,22f85f79acbd048570504a305dcf01567a9be4b794c891b34c96e161a36499e9,Imagine someone did you a favor that cost them 1800 CLP. How much would you be willing to spend to return the favor? Please answer with a single number.,1800,Reciprocation 1800,71,female,Chile
28,22f85f79acbd048570504a305dcf01567a9be4b794c891b34c96e161a36499e9,Imagine someone did you a favor that cost them 2400 CLP. How much would you be willing to spend to return the favor? Please answer with a single number.,1200,Reciprocation 2400,71,female,Chile
28,22f85f79acbd048570504a305dcf01567a9be4b794c891b34c96e161a36499e9,Imagine someone did you a favor that cost them 2400 CLP. How much would you be willing to spend to return the favor? Please answer with a single number.,1200,Reciprocation 2400,71,female,Chile
28,22f85f79acbd048570504a305dcf01567a9be4b794c891b34c96e161a36499e9,Imagine someone did you a favor that cost them 3000 CLP. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 3000 CLP to return the favor.,Reciprocation 3000,71,female,Chile
28,22f85f79acbd048570504a305dcf01567a9be4b794c891b34c96e161a36499e9,Imagine someone did you a favor that cost them 3600 CLP. How much would you be willing to spend to return the favor? Please answer with a single number.,3000,Reciprocation 3600,71,female,Chile
28,22f85f79acbd048570504a305dcf01567a9be4b794c891b34c96e161a36499e9,You unexpectedly received 128000.0 CLP. How much of this amount would you donate to a good cause? Please answer with a single number.,20000.0,Donation 128000.0,71,female,Chile
