Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
86,7c52e0d498358e087692b026c7191e96f622161ab72bbee520aeb33b9f35877f,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",8,Personal retribution,35,female,Netherlands
86,7c52e0d498358e087692b026c7191e96f622161ab72bbee520aeb33b9f35877f,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Retribution on others' behalf,35,female,Netherlands
86,7c52e0d498358e087692b026c7191e96f622161ab72bbee520aeb33b9f35877f,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,35,female,Netherlands
86,7c52e0d498358e087692b026c7191e96f622161ab72bbee520aeb33b9f35877f,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,35,female,Netherlands
86,7c52e0d498358e087692b026c7191e96f622161ab72bbee520aeb33b9f35877f,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,35,female,Netherlands
86,7c52e0d498358e087692b026c7191e96f622161ab72bbee520aeb33b9f35877f,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,7,People have best intentions,35,female,Netherlands
86,7c52e0d498358e087692b026c7191e96f622161ab72bbee520aeb33b9f35877f,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,35,female,Netherlands
86,7c52e0d498358e087692b026c7191e96f622161ab72bbee520aeb33b9f35877f,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,35,female,Netherlands
86,7c52e0d498358e087692b026c7191e96f622161ab72bbee520aeb33b9f35877f,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",50,Present giving,35,female,Netherlands
86,7c52e0d498358e087692b026c7191e96f622161ab72bbee520aeb33b9f35877f,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,35,female,Netherlands
86,7c52e0d498358e087692b026c7191e96f622161ab72bbee520aeb33b9f35877f,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 300 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 10 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 10,35,female,Netherlands
86,7c52e0d498358e087692b026c7191e96f622161ab72bbee520aeb33b9f35877f,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 300 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 20 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 1,Risk 20,35,female,Netherlands
86,7c52e0d498358e087692b026c7191e96f622161ab72bbee520aeb33b9f35877f,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 300 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 30 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 30,35,female,Netherlands
86,7c52e0d498358e087692b026c7191e96f622161ab72bbee520aeb33b9f35877f,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 103.0 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 103.0,35,female,Netherlands
86,7c52e0d498358e087692b026c7191e96f622161ab72bbee520aeb33b9f35877f,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 106.1 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 106.1,35,female,Netherlands
86,7c52e0d498358e087692b026c7191e96f622161ab72bbee520aeb33b9f35877f,Imagine someone did you a favor that cost them 5 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,10,Reciprocation 5,35,female,Netherlands
86,7c52e0d498358e087692b026c7191e96f622161ab72bbee520aeb33b9f35877f,Imagine someone did you a favor that cost them 10 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,15,Reciprocation 10,35,female,Netherlands
86,7c52e0d498358e087692b026c7191e96f622161ab72bbee520aeb33b9f35877f,Imagine someone did you a favor that cost them 15 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,30,Reciprocation 15,35,female,Netherlands
86,7c52e0d498358e087692b026c7191e96f622161ab72bbee520aeb33b9f35877f,Imagine someone did you a favor that cost them 20 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,20,Reciprocation 20,35,female,Netherlands
86,7c52e0d498358e087692b026c7191e96f622161ab72bbee520aeb33b9f35877f,Imagine someone did you a favor that cost them 20 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,20,Reciprocation 20,35,female,Netherlands
86,7c52e0d498358e087692b026c7191e96f622161ab72bbee520aeb33b9f35877f,Imagine someone did you a favor that cost them 25 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,30,Reciprocation 25,35,female,Netherlands
86,7c52e0d498358e087692b026c7191e96f622161ab72bbee520aeb33b9f35877f,Imagine someone did you a favor that cost them 30 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,30,Reciprocation 30,35,female,Netherlands
86,7c52e0d498358e087692b026c7191e96f622161ab72bbee520aeb33b9f35877f,You unexpectedly received 1200.0 EUR. How much of this amount would you donate to a good cause? Please answer with a single number.,300,Donation 1200.0,35,female,Netherlands
85,96f55427f9ebed53f8ac60441f20bdb2dcfd71da20c1b93a7e9259727fd88144,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 4.,Willingness to take risk,64,male,Netherlands
85,96f55427f9ebed53f8ac60441f20bdb2dcfd71da20c1b93a7e9259727fd88144,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,64,male,Netherlands
85,96f55427f9ebed53f8ac60441f20bdb2dcfd71da20c1b93a7e9259727fd88144,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,64,male,Netherlands
85,96f55427f9ebed53f8ac60441f20bdb2dcfd71da20c1b93a7e9259727fd88144,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Retribution on others' behalf,64,male,Netherlands
85,96f55427f9ebed53f8ac60441f20bdb2dcfd71da20c1b93a7e9259727fd88144,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,64,male,Netherlands
85,96f55427f9ebed53f8ac60441f20bdb2dcfd71da20c1b93a7e9259727fd88144,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,64,male,Netherlands
85,96f55427f9ebed53f8ac60441f20bdb2dcfd71da20c1b93a7e9259727fd88144,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,64,male,Netherlands
85,96f55427f9ebed53f8ac60441f20bdb2dcfd71da20c1b93a7e9259727fd88144,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,6,People have best intentions,64,male,Netherlands
85,96f55427f9ebed53f8ac60441f20bdb2dcfd71da20c1b93a7e9259727fd88144,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,64,male,Netherlands
85,96f55427f9ebed53f8ac60441f20bdb2dcfd71da20c1b93a7e9259727fd88144,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,64,male,Netherlands
85,96f55427f9ebed53f8ac60441f20bdb2dcfd71da20c1b93a7e9259727fd88144,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",20,Present giving,64,male,Netherlands
85,96f55427f9ebed53f8ac60441f20bdb2dcfd71da20c1b93a7e9259727fd88144,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",800,Donate,64,male,Netherlands
85,96f55427f9ebed53f8ac60441f20bdb2dcfd71da20c1b93a7e9259727fd88144,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 300 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 10 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 10,64,male,Netherlands
85,96f55427f9ebed53f8ac60441f20bdb2dcfd71da20c1b93a7e9259727fd88144,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 103.0 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 103.0,64,male,Netherlands
85,96f55427f9ebed53f8ac60441f20bdb2dcfd71da20c1b93a7e9259727fd88144,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 106.1 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 106.1,64,male,Netherlands
85,96f55427f9ebed53f8ac60441f20bdb2dcfd71da20c1b93a7e9259727fd88144,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 109.2 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 109.2,64,male,Netherlands
85,96f55427f9ebed53f8ac60441f20bdb2dcfd71da20c1b93a7e9259727fd88144,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 112.4 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 112.4,64,male,Netherlands
85,96f55427f9ebed53f8ac60441f20bdb2dcfd71da20c1b93a7e9259727fd88144,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 115.6 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 115.6,64,male,Netherlands
85,96f55427f9ebed53f8ac60441f20bdb2dcfd71da20c1b93a7e9259727fd88144,Imagine someone did you a favor that cost them 5 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,5,Reciprocation 5,64,male,Netherlands
85,96f55427f9ebed53f8ac60441f20bdb2dcfd71da20c1b93a7e9259727fd88144,Imagine someone did you a favor that cost them 10 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,20,Reciprocation 10,64,male,Netherlands
85,96f55427f9ebed53f8ac60441f20bdb2dcfd71da20c1b93a7e9259727fd88144,Imagine someone did you a favor that cost them 15 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,20,Reciprocation 15,64,male,Netherlands
85,96f55427f9ebed53f8ac60441f20bdb2dcfd71da20c1b93a7e9259727fd88144,Imagine someone did you a favor that cost them 20 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 30 EUR to return the favor.,Reciprocation 20,64,male,Netherlands
85,96f55427f9ebed53f8ac60441f20bdb2dcfd71da20c1b93a7e9259727fd88144,Imagine someone did you a favor that cost them 20 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,20,Reciprocation 20,64,male,Netherlands
85,96f55427f9ebed53f8ac60441f20bdb2dcfd71da20c1b93a7e9259727fd88144,Imagine someone did you a favor that cost them 25 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,25,Reciprocation 25,64,male,Netherlands
85,96f55427f9ebed53f8ac60441f20bdb2dcfd71da20c1b93a7e9259727fd88144,Imagine someone did you a favor that cost them 30 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,30,Reciprocation 30,64,male,Netherlands
85,96f55427f9ebed53f8ac60441f20bdb2dcfd71da20c1b93a7e9259727fd88144,You unexpectedly received 1200.0 EUR. How much of this amount would you donate to a good cause? Please answer with a single number.,500.0,Donation 1200.0,64,male,Netherlands
